pid,worker,iteration,target,best_target,acq_params,TUNABLE_WEIGHT,TUNABLE_LEARNING_RATE
47020,1,9,-76325.33145960291,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 60, 'kappa': 3.1622776601683773, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",37076.020660810565,2.7518489536218986
47018,2,9,-72979.93211450608,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 60, 'kappa': 3.1622776601683773, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",35723.41315351545,2.581487690875458
47022,3,9,-74444.4614102126,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 60, 'kappa': 3.1622776601683773, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",59.467539338095605,0.00010658945445493693
47017,4,9,-78212.29211545906,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 60, 'kappa': 3.1622776601683773, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",39595.8683678858,2.445550727625922
47019,5,9,-72260.11785377211,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 60, 'kappa': 3.1622776601683773, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",47.75061118191985,6.651966662528009e-05
47926,0,10,-72286.48344112498,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 66, 'kappa': 2.818382931264452, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",82.69851109687255,7.993520346035134e-05
47928,1,10,-77066.74104555915,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 66, 'kappa': 2.818382931264452, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",23526.085583326236,2.6240778654978385
47931,2,10,-73113.10247565492,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 66, 'kappa': 2.818382931264452, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",86.0692123191847,7.67785117044888e-05
47929,3,10,-74757.79395189906,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 66, 'kappa': 2.818382931264452, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",90.4809835123114,6.954274281400263e-05
47927,4,10,-76640.6452299411,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 66, 'kappa': 2.818382931264452, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.2399591693345747,4.6368259344212035
47930,5,10,-72887.8248717314,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 66, 'kappa': 2.818382931264452, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",82.42003063191852,7.31119342000619e-05
48654,0,11,-74632.3697592346,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 72, 'kappa': 2.5118864315095784, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",90.83399078790904,0.0001575571804116613
48652,1,11,-72385.8953195127,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 72, 'kappa': 2.5118864315095784, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",92.42791707844741,0.00015264374680482872
48656,2,11,-77076.95259086743,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 72, 'kappa': 2.5118864315095784, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",25531.295145044736,1.6021002453891904
48653,3,11,-74828.50556708308,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 72, 'kappa': 2.5118864315095784, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",26116.649772320172,1.690488370540677
